table,field_name,field_class,required?,description,type,values,example,notes
administrations,administration_id,PrimaryKey,yes,row identifier for the administrations table indexing from zero,numeric,,0,unique per row
administrations,dataset_id,ForeignKey,yes,row identifier for datasets indexing from zero (linked to datasets),numeric,,0,linked to datasets.dataset_id
administrations,subject_id,ForeignKey,yes,row identifier for subjects indexing from zero (linked to subjects),numeric,,0,linked to subjects.subject_id
administrations,age,FloatField,no,age of the participant in months (conversion from days to months: days / (365.25/12)); conversion from decimal years to months: years * 12; conversion from whole number years to months: years * 12 + 6),numeric,,7.1,
administrations,lab_age,FloatField,no,lab-internal age recorded for subject (before converting to standardized age in months; conversion from days to months: days / (365.25/12)),numeric,,12,
administrations,lab_age_units,CharField,no,"unit used for lab-internal age recorded for subject (before converting to standardized age in months); should typically be days, months, or years",numeric,days / months / years,months,
administrations,monitor_size_x,IntegerField,no,width of the monitor (in pixels),numeric,,1920,
administrations,monitor_size_y,IntegerField,no,height of the monitor (in pixels),numeric,,1200,
administrations,sample_rate,IntegerField,no,sampling rate of the eyetracker (in Hz) / frame rate for manual gaze coding,numeric,,60,
administrations,tracker,CharField,no,name of the eye-tracker type/ data source (SMI/ iCoder/ Tobii/ etc.),string,,SMI,
administrations,coding_method,CharField,yes,"method used in the experiment for coding gaze data (eyetracking, manual gaze coding, automated gaze coding, preprocessed eyetracking - meaning eyetracking with only aoi data available)",string,eyetracking / manual gaze coding / automated gaze coding / preprocessed eyetracking,eyetracking,
administrations,administration_aux_data,JSONField,no,optional additional information about the administration in the format of a JSON (see aux_data tab for information about existing columns),JSON,,,
datasets,dataset_id,PrimaryKey,yes,row identifier for the datasets table indexing from zero,numeric,,0,unique per row
datasets,lab_dataset_id,CharField,no,lab-internal short name of the dataset,string,,SwitchingCues,
datasets,dataset_name,CharField,yes,"a descriptive label, could be a short citation. Needs to be unique in the database",string,,pomper_saffran_2016,
datasets,cite,CharField,no,full citation (APA format),string,,"Pomper, R., & Saffran, J. R. (2016). Roses are red, socks are blue: Switching dimensions disrupts young children’s language processing. PLoS ONE 11(6): e0158459.",
datasets,shortcite,CharField,no,shortened citation (author (year) APA-style in-text citation),string,,Pomper & Saffran (2016),
datasets,dataset_aux_data,JSONField,no,optional additional information about the administration in the format of a JSON (see aux_data tab for information about existing columns),JSON,,,
subjects,subject_id,PrimaryKey,yes,database unique participant identifier (indexing from zero),numeric,,0,unique per row
subjects,sex,CharField,no,sex of the participants (male/ female/ other/ unspecified),string,female / male / other/ unspecified,female,
subjects,native_language,CharField,no,"participants' native language (in ISO 6390-2); potentially a string of multiple language codes separated by a "", "" (in the case of bilinguals; note that there *must* be a space after the comma)",string,,,
subjects,lab_subject_id,CharField,no,lab unique participant identifer,string,,,
subjects,subject_aux_data,JSONField,no,optional additional information about the administration in the format of a JSON (see aux_data tab for information about existing columns),JSON,,,
trial_types,trial_type_id,PrimaryKey,yes,row identifier for the trial_types table indexing from zero,numeric,,0,unique per row
trial_types,full_phrase,CharField,no,Full phrase prompting the target,string,,Do you see the ball?,
trial_types,full_phrase_language,CharField,no,"language of the full phrase (options: ISO 639-2/B language 3 digits code, multiple, artificial); see here for table and information on ISO 639-2/B language 3 digits code (use code from 639-2/B column): https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes; other link: https://gist.github.com/gantian127/8345007938faf611fa6d)",,"ISO 639-2 language 3 digits code, multiple, artificial",,
trial_types,point_of_disambiguation,IntegerField,no,target onset time (relative to trial onset) in ms,numeric,,1873,
trial_types,target_side,CharField,no,part of the screen in which the target stimulus appears (left or right in 2-choice design),string,left / right,left,
trial_types,lab_trial_id,CharField,no,trial label assigned within lab (or descriptive label of the trial),numeric,,1,
trial_types,condition,CharField,no,information on the condition manipulation in the given trial (as close as possible as language from the original study),string,,control,
trial_types,vanilla_trial,BooleanField,no,"whether or not the trial is a ""standard"" (""vanilla"") looking-while-listening trial or includes additional manipulations. Some requirements for being considered a standard/ vanilla trial include: Familiar words (also no part-words), target word is the first point of disambiguation, well-formed/grammatical carrier phrase, no relevant “stuff”/information prenominally (e.g. semantically informative verbs, adjectives), no nonsense words anywhere (including carrier phrase), no language/ speaker/ accent/ etc. switching within trial, unrelated distracter with respect to the target_label and target_image, no phonological overlap between distracter label and target label. Reach out to the Peekbank team for guidance on handling borderline cases.",string,true / false,true,
trial_types,trial_type_aux_data,JSONField,no,optional additional information about the administration in the format of a JSON (see aux_data tab for information about existing columns),JSON,,,
trial_types,aoi_region_set_id,ForeignKey,no,unique aoi_region identifier (indexing from zero),numeric,,0,linked to aoi_region_sets.aoi_region_set_id; not available for hand-coded datasets
trial_types,dataset_id,ForeignKey,yes,row identifier for the datasets table indexing from zero,numeric,,0,linked to datasets.dataset_id
trial_types,distractor_id,ForeignKey,yes,row identifier for the distractor stimulus indexing from zero,numeric,,0,linked to stimuli.stimulus_id
trial_types,target_id,ForeignKey,yes,row identifier for the target stimulus indexing from zero,numeric,,1,linked to stimuli.stimulus_id
trials,trial_id,PrimaryKey,yes,row identifier for the trials table indexing from zero,numeric,,0,unique per row
trials,trial_order,IntegerField,no,index of the trial in order of presentation for this participant during the experiment,numeric,,0,
trials,excluded,BooleanField,no,whether or not the trial was excluded in the data analysis conducted in the original experiment for which the data was collected,string,true / false,true,
trials,exclusion_reason,CharField,no,the reason the trial was excluded in the original experiment that is the source of the data,string,,inattentive,
trials,trial_type_id,ForeignKey,yes,row identifier for the trial_types table indexing from zero,numeric,,0,linked to trial_types.trial_type_id
trials,trial_aux_data,JSONField,no,optional additional information about the administration in the format of a JSON (see aux_data tab for information about existing columns),JSON,,,
xy_timepoints,xy_timepoint_id,PrimaryKey,yes,row identifier for the xy_timepoints table indexing from zero,numeric,,0,unique per row; no entries for hand-coded datasets
xy_timepoints,x,IntegerField,no,"x-coordinate of gaze position at timepoint t (origin (0,0) is bottom left)",numeric,,1498,
xy_timepoints,y,IntegerField,no,"y-coordinate of gaze position at timepoint t (origin (0,0) is bottom left)",numeric,,505,
xy_timepoints,t_norm,IntegerField,yes,"timestamp in ms, centered on the point of disambiguation of the target (= 0 ms)",numeric,,0,
xy_timepoints,administration_id,ForeignKey,yes,row identifier for the administrations table indexing from zero (linked to administrations),numeric,,0,linked to administrations.administration_id
xy_timepoints,trial_id,ForeignKey,yes,row identifier for the trials table indexing from zero (linked to trials),numeric,,0,linked to trials.trial_id
aoi_timepoints,aoi_timepoint_id,PrimaryKey,yes,row identifier for the aoi_timepoints table indexing from zero,numeric,,0,unique per row
aoi_timepoints,trial_id,ForeignKey,yes,row identifier for the trials table indexing from zero (linked to trials),numeric,,0,linked to trials.trial_id
aoi_timepoints,aoi,CharField,yes,"name of the looking location (target, distractor, other, missing). other = on-screen looking, but not in the AOI regions for target or distractor. missing = missing data (could be off-screen look, blink, tracker error, etc.)",string,target / distractor / other / missing,target,
aoi_timepoints,t_norm,IntegerField,yes,"timestamp in ms, centered on the point of disambiguation of the target (= 0 ms)",numeric,,0,
aoi_timepoints,administration_id,ForeignKey,yes,row identifier for the administrations table indexing from zero (linked to administrations),numeric,,0,linked to administrations.administraion_id
aoi_region_sets,aoi_region_set_id,PrimaryKey,yes,row identifier for the aoi_region_sets table indexing from zero,numeric,,0,unique per row
aoi_region_sets,l_x_max,IntegerField,no,"maximum x-coordinate of the left AOI region (with the bottom left corner of the screen as origin (0,0))",numeric,,715,
aoi_region_sets,l_x_min,IntegerField,no,"minimum x-coordinate of the left AOI region (with the bottom left corner of the screen as origin (0,0))",numeric,,3,
aoi_region_sets,l_y_max,IntegerField,no,"maximum y-coordinate of the left AOI region (with the bottom left corner of the screen as origin (0,0))",numeric,,921,
aoi_region_sets,l_y_min,IntegerField,no,"minimum y-coordinate of the left AOI region (with the bottom left corner of the screen as origin (0,0))",numeric,,146,
aoi_region_sets,r_x_max,IntegerField,no,"maximum x-coordinate of the right AOI region (with the bottom left corner of the screen as origin (0,0))",numeric,,1679,
aoi_region_sets,r_x_min,IntegerField,no,"minimum x-coordinate of the right AOI region (with the bottom left corner of the screen as origin (0,0))",numeric,,967,
aoi_region_sets,r_y_max,IntegerField,no,"maximum y-coordinate of the right AOI region (with the bottom left corner of the screen as origin (0,0))",numeric,,921,
aoi_region_sets,r_y_min,IntegerField,no,"minimum y-coordinate of the right AOI region (with the bottom left corner of the screen as origin (0,0))",numeric,,146,
stimuli,stimulus_id,PrimaryKey,yes,row identifier for the stimuli table indexing from zero,numeric,,0,unique per row
stimuli,original_stimulus_label,CharField,no,label (i.e. label for the image when it appears in target position or the label for the image as described in the experiment design) assigned to the stimulus (in the original language of the study),string,,ball,
stimuli,english_stimulus_label,CharField,no,label assigned to the stimulus translated into English,string,,ball,
stimuli,stimulus_novelty,CharField,no,"whether the stimulus word (not image) is novel or familiar (options: novel, familiar)",string,novel / familiar,familiar,
stimuli,stimulus_image_path,CharField,no,"relative file path to the visual image stimulus (relative to raw_data/) - has to point to an existing file, should be NA if no such file exists in the raw data",string,,images/ball.png,
stimuli,image_description,CharField,no,a short natural language description of the image (can be multiple words),string,,ball,
stimuli,image_description_source,CharField,no,an explanation of the source of  the natural language  description (Options: taken from the image path; based on experiment documentation; generated by the importer/ Peekbank team),string,image path / experiment documentation  / Peekbank discretion,image path,
stimuli,lab_stimulus_id,CharField,no,an id or name assigned to the stimulus by the original authors,string,,ball_01,
stimuli,dataset_id,ForeignKey,yes,row identifier for datasets indexing from zero (linked to datasets),numeric,,0,linked to datasets.dataset_id
stimuli,stimulus_aux_data,JSONField,no,optional additional information about the administration in the format of a JSON (see aux_data tab for information about existing columns),JSON,,,
